date,rating,review_text,ticker
2024-01-02 10:00:00,5,Love the new lessons and streak system keeps me motivated!,DEMO
2024-01-02 14:30:00,4,Great app but notifications are a bit much.,DEMO
2024-01-02 18:00:00,2,Frustrated with bugs after the last update.,DEMO
2024-01-03 09:15:00,5,Best language app I have used so far.,DEMO
2024-01-03 11:00:00,3,Okay but subscription price increased.,DEMO
2024-01-03 20:00:00,1,Crashes on launch cannot study anymore.,DEMO
2024-01-04 08:00:00,4,Solid progress tracking and fun challenges.,DEMO
2024-01-04 12:00:00,5,Amazing update the UI feels faster.,DEMO
2024-01-05 07:30:00,2,Support took forever to respond.,DEMO
2024-01-05 15:00:00,4,Really helpful for daily practice.,DEMO
2024-01-05 19:00:00,3,Mixed feelings community features feel rough.,DEMO
2024-01-06 10:00:00,5,Exceeded my expectations this week.,DEMO
2024-01-06 16:00:00,4,Good content minor audio glitches.,DEMO
2024-01-07 09:00:00,1,Terrible experience billing issue still not fixed.,DEMO
2024-01-07 17:00:00,5,Back to five stars issue resolved quickly.,DEMO
